Cidade,UF,Tabua_mares
Angra dos Reis,RJ,Brazil/Rio-de-Janeiro/Angra-Dos-Reis
Aracaju,SE,Brazil/Sergipe/Aracaju
Arraial do Cabo,RJ,Brazil/Rio-de-Janeiro/Arraial-Do-Cabo
Balneario Camboriu,SC,Brazil/Santa-Catarina/Balneario-Camboriu
Barreirinhas,MA,Brazil/Maranhao/Barreirinhas/Atins
Bertioga,SP,Brazil/Sao-Paulo/Bertioga
Bombinhas,SC,Brazil/Santa-Catarina/Bombinhas
Buzios,RJ,Brazil/Rio-de-Janeiro/Armacao-De-Buzios
Cabo Frio,RJ,Brazil/Rio-de-Janeiro/Arraial-Do-Cabo/Cabo-Frio
Enseada,SP,Brazil/Sao-Paulo/Ubatuba/Praia-da-Enseada
Fernando de Noronha,PE,Brazil/Pernambuco/Fernando-De-Noronha
Florianopolis,SC,Brazil/Santa-Catarina/Florianopolis/Barra-da-Lagoa
Fortaleza,CE,Brazil/Ceara/Fortaleza/Fortaleza
Guaruja,SP,Brazil/Sao-Paulo/Guaruja
Ilha Bela,SP,Brazil/Sao-Paulo/Ilhabela/Praia-dos-Castelhanos-(Ilha-Bela)
Ilheus,BA,Brazil/Bahia/Ilheus
Itanhaem,SP,Brazil/Sao-Paulo/Itanhaem
Jaboatao dos Guararapes,PE,Brazil/Pernambuco/Jaboatao-Dos-Guararapes
Jijoca de Jericoacoara,CE,Brazil/Ceara/Jijoca-De-Jericoacoara
Joao Pessoa,PB,Brazil/Paraiba/Joao-Pessoa/Tambau
Lagoinha,SP,Brazil/Santa-Catarina/Florianopolis/Lagoinha-do-Leste
Lauro de Freitas,BA,Brazil/Bahia/Lauro-De-Freitas/Lauro-de-Freitas
Macae,RJ,Brazil/Rio-de-Janeiro/Macae
Macapa,AP,Brazil/Amapa/Macapa
Maceio,AL,Brazil/Alagoas/Maceio
Marechal Deodoro,AL,Brazil/Alagoas/Marechal-Deodoro/Praia-do-Frances
Morro de Sao Paulo,BA,Brazil/Bahia/Valenca/Morro-de-Sao-Paulo
Natal,RN,Brazil/Rio-Grande-do-Norte/Natal
Niteroi,RJ,Brazil/Rio-de-Janeiro/Niteroi/Niteroi
Olinda,PE,Brazil/Pernambuco/Olinda
Paranagua,PR,Brazil/Parana/Paranagua/Paranagu
Paraty,RJ,Brazil/Rio-de-Janeiro/Paraty/Praia-da-Fazenda
Parnaiba,PI,Brazil/Piaui/Parnaiba/Parnaiba
Pedra Grande,RN,Brazil/Alagoas/Japaratinga/Porto-de-Pedras
Peruibe,SP,Brazil/Sao-Paulo/Peruibe
Ponta Negra,RN,Brazil/Rio-Grande-do-Norte/Natal/Ponta-Negra
Porto Seguro,BA,Brazil/Bahia/Porto-Seguro
Praia Grande,SP,Brazil/Sao-Paulo/Praia-Grande
Recife,PE,Brazil/Pernambuco/Recife
Rio das Ostras,RJ,Brazil/Rio-de-Janeiro/Rio-Das-Ostras
Rio de Janeiro,RJ,Brazil/Rio-de-Janeiro/Rio-de-Janeiro/Rio-de-Janeiro
Salvador,BA,Brazil/Bahia/Salvador/Salvador
Santos,SP,Brazil/Sao-Paulo/Santos
Sao Luis,MA,Brazil/Maranhao/Sao-Luis
Sao Mateus,ES,Brazil/Espirito-Santo/Sao-Mateus/Praia-do-Guriri
Sao Sebastiao,SP,Brazil/Sao-Paulo/Sao-Sebastiao
Tibau do Sul,RN,Brazil/Rio-Grande-do-Norte/Tibau-Do-Sul
Ubatuba,SP,Brazil/Sao-Paulo/Ubatuba
Vila Velha,ES,Brazil/Espirito-Santo/Vila-Velha
Rio Grande,RS,Brazil/Rio-Grande-do-Sul/Rio-Grande/Barra-do-Rio-Grande
Suape,PE,Brazil/Pernambuco/Porto-De-Suape
Itajai,PE,Brazil/Pernambuco/Ipojuca/Porto-de-Galinhas
