cidade;uf;tempo;temperatura;temperatura_max;temperatura_min;nebulosidade;umidade;vento;horario_por_sol;pesca;melhor_horario_pesca;altura_maior_onda;data
Angra dos Reis;RJ;céu parcialmente nublado [emoji_nuvem];25;26;25;7;79;18;18:22;Mediano;13:27 - 15:27;1,1;05/03/2022
Aracaju;SE;céu parcialmente nublado [emoji_nuvem];27;27;27;52;76;22;17:48;Mediano;24:58 - 14:58;2,2;05/03/2022
Arraial do Cabo;RJ;céu nublado [emoji_nuvem];26;26;26;100;81;36;18:13;Mediano;13:18 - 15:18;1,2;05/03/2022
Balneário Camboriu;SC;céu parcialmente nublado [emoji_nuvem];26;26;26;7;78;14;18:41;Mediano;13:44 - 15:44;1,0;05/03/2022
Barreirinhas;MA;céu parcialmente nublado [emoji_nuvem];28;28;28;67;76;24;18:05;Mediano;13:21 - 15:21;2,5;05/03/2022
Bertioga;SP;períodos de chuva ao longo do dia [emoji_chuva];26;26;26;83;75;10;18:30;Mediano;13:35 - 15:35;1,3;05/03/2022
Bombinhas;SC;céu parcialmente nublado [emoji_nuvem];26;26;26;7;76;14;18:41;Mediano;13:44 - 15:44;1,0;05/03/2022
Búzios;RJ;céu parcialmente nublado [emoji_nuvem];24;26;24;4;81;32;18:12;Mediano;13:17 - 15:17;1,3;05/03/2022
Cabo Frio;RJ;céu nublado [emoji_nuvem];26;26;26;100;81;36;18:13;Mediano;13:18 - 15:18;1,2;05/03/2022
Enseada;SP;céu parcialmente nublado [emoji_nuvem];24;27;24;14;75;16;18:24;Mediano;13:29 - 15:29;1,2;05/03/2022
Fernando de Noronha;PE;períodos de chuva ao longo do dia [emoji_chuva];27;27;27;87;77;19;18:26;Mediano;13:40 - 15:40;2,2;05/03/2022
Florianópolis;SC;céu parcialmente nublado [emoji_nuvem];26;27;26;12;75;23;18:41;Mediano;13:44 - 15:44;0,9;05/03/2022
Fortaleza;CE;céu parcialmente nublado [emoji_nuvem];27;28;27;52;75;16;17:50;Mediano;13:05 - 15:05;2,5;05/03/2022
Guarujá;SP;céu parcialmente nublado [emoji_nuvem];26;26;26;11;75;10;18:30;Mediano;13:35 - 15:35;1,3;05/03/2022
Ilha Bela;SP;céu parcialmente nublado [emoji_nuvem];26;26;26;15;82;6;18:27;Mediano;13:32 - 15:32;1,2;05/03/2022
Ilhéus;BA;períodos de chuva ao longo do dia [emoji_chuva];26;27;26;76;76;11;17:57;Mediano;13:06 - 15:06;2,2;05/03/2022
Itanhaém;SP;períodos de chuva ao longo do dia [emoji_chuva];27;27;27;71;78;11;18:31;Mediano;13:36 - 15:36;1,3;05/03/2022
Jaboatão dos Guararapes;PE;chuva fraca;27;27;27;69;79;23;17:38;Mediano;24:50 - 14:50;2,2;05/03/2022
Jijoca de Jericoacoara;CE;céu parcialmente nublado [emoji_nuvem];28;28;28;69;75;21;18:00;Mediano;13:16 - 15:16;2,5;05/03/2022
João Pessoa;PB;céu parcialmente nublado [emoji_nuvem];27;28;27;70;78;19;17:37;Mediano;24:50 - 14:50;2,2;05/03/2022
Lagoinha;SP;céu parcialmente nublado [emoji_nuvem];26;27;26;12;75;23;18:41;Mediano;13:44 - 15:44;0,9;05/03/2022
Lauro de Freitas;BA;céu parcialmente nublado [emoji_nuvem];27;27;27;53;70;6;17:54;Mediano;13:04 - 15:04;2,2;05/03/2022
Macaé;RJ;céu parcialmente nublado [emoji_nuvem];25;26;25;5;76;23;18:12;Mediano;13:17 - 15:17;1,3;05/03/2022
Macapá;AP;céu parcialmente nublado [emoji_nuvem];27;27;27;31;79;15;18:37;Mediano;13:56 - 15:56;5,2;05/03/2022
Maceió;AL;chuva fraca;27;28;27;87;77;18;17:42;Mediano;24:54 - 14:54;2,2;05/03/2022
Marechal Deodoro;AL;chuva fraca;27;28;27;87;77;18;17:42;Mediano;24:54 - 14:54;2,2;05/03/2022
Morro de São Paulo;BA;céu parcialmente nublado [emoji_nuvem];27;27;27;20;72;6;17:56;Mediano;13:06 - 15:06;2,2;05/03/2022
Natal;RN;períodos de chuva ao longo do dia [emoji_chuva];26;29;26;61;81;18;17:38;Mediano;24:51 - 14:51;2,2;05/03/2022
Niterói;RJ;céu parcialmente nublado [emoji_nuvem];26;27;26;11;81;19;18:17;Mediano;13:22 - 15:22;1,3;05/03/2022
Olinda;PE;chuva fraca;27;27;27;68;80;23;17:38;Mediano;24:50 - 14:50;2,2;05/03/2022
Paranaguá;PR;céu parcialmente nublado [emoji_nuvem];27;27;27;23;85;22;18:40;Mediano;13:44 - 15:44;1,3;05/03/2022
Paraty;RJ;céu parcialmente nublado [emoji_nuvem];23;27;23;17;88;15;18:24;Mediano;13:29 - 15:29;1,3;05/03/2022
Parnaíba;PI;céu parcialmente nublado [emoji_nuvem];27;28;27;30;77;23;18:03;Mediano;13:19 - 15:19;2,5;05/03/2022
Pedra Grande;RN;chuva fraca;26;28;26;100;87;18;17:40;Mediano;24:51 - 14:51;2,2;05/03/2022
Peruíbe;SP;períodos de chuva ao longo do dia [emoji_chuva];26;27;26;70;86;15;18:31;Mediano;13:36 - 15:36;1,3;05/03/2022
Ponta Negra;RN;períodos de chuva ao longo do dia [emoji_chuva];26;29;26;61;81;18;17:38;Mediano;24:51 - 14:51;2,2;05/03/2022
Porto de Galinhas;PE;chuva fraca;26;27;26;78;84;18;17:38;Mediano;24:50 - 14:50;2,2;05/03/2022
Porto Seguro;BA;céu parcialmente nublado [emoji_nuvem];27;27;27;29;80;21;17:58;Mediano;13:06 - 15:06;2,2;05/03/2022
Praia Grande;SP;períodos de chuva ao longo do dia [emoji_chuva];26;27;26;70;86;15;18:31;Mediano;13:36 - 15:36;1,3;05/03/2022
Recife;PE;chuva fraca;27;27;27;68;80;23;17:38;Mediano;24:50 - 14:50;2,2;05/03/2022
Rio das Ostras;RJ;céu parcialmente nublado [emoji_nuvem];24;26;24;3;86;35;18:12;Mediano;13:17 - 15:17;1,3;05/03/2022
Rio de Janeiro;RJ;céu parcialmente nublado [emoji_nuvem];26;27;26;11;81;19;18:17;Mediano;13:22 - 15:22;1,3;05/03/2022
Salvador;BA;céu parcialmente nublado [emoji_nuvem];27;27;27;39;74;6;17:55;Mediano;13:05 - 15:05;2,2;05/03/2022
Santos;SP;períodos de chuva ao longo do dia [emoji_chuva];26;26;26;84;83;12;18:30;Mediano;13:35 - 15:35;1,3;05/03/2022
São Luis;MA;períodos de chuva ao longo do dia [emoji_chuva];25;27;25;82;89;16;18:13;Mediano;13:30 - 15:30;5,7;05/03/2022
São Mateus;ES;períodos de chuva ao longo do dia [emoji_chuva];26;27;26;78;77;16;18:02;Mediano;13:09 - 15:09;2,2;05/03/2022
São Sebastião;SP;períodos de chuva ao longo do dia [emoji_chuva];26;26;26;74;84;13;18:27;Mediano;13:32 - 15:32;1,2;05/03/2022
Tibau do Sul;RN;chuva fraca;27;27;27;68;81;23;17:38;Mediano;24:51 - 14:51;2,2;05/03/2022
Ubatuba;SP;céu parcialmente nublado [emoji_nuvem];23;27;23;17;88;15;18:24;Mediano;13:29 - 15:29;1,3;05/03/2022
Vila Velha;ES;períodos de chuva ao longo do dia [emoji_chuva];27;27;27;78;79;23;18:05;Mediano;13:11 - 15:11;1,5;05/03/2022
