cidade;uf;tempo;temperatura;temperatura_max;temperatura_min;nebulosidade;umidade;vento;horario_por_sol;pesca;melhor_horario_pesca;altura_maior_onda;texto_onda;qtd_navios_porto;qtd_navios_chegando;data
Angra dos Reis;RJ;chuva fraca;16;21;16;100;78;37;17:43;Mediano;17:15 - 19:15;0,8;"Horários de maré alta: 12:26am (0,4m) e 8:06am (0,8m).
Horários de maré baixa: 9:01am (0,7m) e 11:45am (0,6m)";;;19/08/2022
Aracaju;SE;céu parcialmente nublado;24;26;24;20;64;26;17:26;Mediano;;1,5;"Horário de maré alta: 11:03am (1,5m) e 9:54pm (1,5m).
Horários de maré baixa: 3:28am (0,6m) e 4:09pm (0,8m)";;;19/08/2022
Arraial do Cabo;RJ;chuva fraca;19;22;19;98;72;44;17:34;Mediano;17:06 - 19:06;0,7;"Horário de maré alta: 8:29am (0,7m) e 12:11pm (0,6m).
Horários de maré baixa: 1:56am (0,4m) e 11:10am (0,6m)";;;19/08/2022
Balneario Camboriu;SC;sol;11;12;11;0;66;25;17:56;Mediano;17:34 - 19:34;0,6;"Horário de maré alta: 8:34am (0,6m) e 12:16pm (0,5m).
Horários de maré baixa: 2:07am (0,3m) e 11:21am (0,5m)";;;19/08/2022
Barreirinhas;MA;céu parcialmente nublado;27;27;27;22;78;37;17:54;Mediano;;2,0;"Horário de maré alta: 11:14am (1,9m) e 10:34pm (2,0m).
Horários de maré baixa: 4:01am (0,5m) e 4:20pm (0,7m)";;;19/08/2022
Bertioga;SP;períodos de chuva ao longo do dia;16;18;16;100;65;27;17:50;Mediano;17:23 - 19:23;0,7;"Horários de maré alta: 6:46am (0,7m) e 11:24am (0,7m).
Horários de maré baixa: 4:55am (0,6m) e 3:07pm (0,7m)";;;19/08/2022
Bombinhas;SC;sol;9;12;9;0;69;25;17:55;Mediano;17:34 - 19:34;0,7;"Horários de maré alta: 12:29am (0,4m) e 8:09am (0,7m).
Horários de maré baixa: 9:04am (0,6m) e 11:33am (0,5m)";;;19/08/2022
Buzios;RJ;chuva fraca;19;22;19;91;75;42;17:34;Mediano;17:05 - 19:05;0,9;"Horário de maré alta: 8:27am (0,8m) e 12:00pm (0,6m).
Horários de maré baixa: 12:14am (0,5m) e 7:32am (0,9m)";;;19/08/2022
Cabo Frio;RJ;chuva fraca;19;22;19;98;72;44;17:34;Mediano;17:06 - 19:06;0,7;"Horário de maré alta: 8:29am (0,7m) e 12:11pm (0,6m).
Horários de maré baixa: 1:56am (0,4m) e 11:10am (0,6m)";;;19/08/2022
Enseada;SP;chuva fraca;14;19;14;100;84;38;17:45;Mediano;17:18 - 19:18;0,8;"Horários de maré alta: 12:19am (0,4m) e 7:59am (0,8m).
Horários de maré baixa: 8:54am (0,7m) e 9:41am (0,6m)";;;19/08/2022
Fernando de Noronha;PE;céu parcialmente nublado;26;26;26;68;77;38;18:13;Mediano;;1,5;"Horário de maré alta: 12:02pm (1,5m) e 10:53pm (1,5m).
Horários de maré baixa: 4:13am (0,6m) e 4:54pm (0,8m)";;;19/08/2022
Florianopolis;SC;sol;9;11;9;0;73;26;17:55;Mediano;17:33 - 19:33;0,5;"Horário de maré alta: 8:12am (0,5m) e 11:54am (0,4m).
Horários de maré baixa: 2:06am (0,3m) e 11:20am (0,4m)";;;19/08/2022
Fortaleza;CE;céu parcialmente nublado;26;26;26;6;80;28;17:38;Mediano;;2,0;"Horário de maré alta: 11:11am (1,8m) e 10:31pm (2,0m).
Horários de maré baixa: 4:03am (0,5m) e 4:22pm (0,7m)";;;19/08/2022
