data;data_info;localizacao;magnitude;profundidade
28/02/2022;2022-02-25;Jujuy Province, Argentina; 4.4;189.0
28/02/2022;2022-02-25;Central Chile; 4.8;104.0
28/02/2022;2022-02-28;Near Coast of Central Chile;5.4;11.0
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Central Chile;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Central Chile;;
;2022-02-25;Central Chile;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Central Chile;;
;2022-02-25;Central Chile;;
;2022-02-25;Central Chile;;
;2022-02-25;Central Chile;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Central Chile;;
;2022-02-25;Central Chile;;
;2022-02-25;Central Chile;;
;2022-02-25;Central Chile;;
;2022-02-25;Central Chile;;
;2022-02-25;Central Chile;;
;2022-02-25;Central Chile;;
;2022-02-25;Central Chile;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Jujuy Province, Argentina;;
;2022-02-25;Central Chile;;
;2022-02-25;Central Chile;;
;2022-02-25;Central Chile;;
;2022-02-25;Central Chile;;
;2022-02-25;Central Chile;;
;2022-02-25;Central Chile;;
;2022-02-25;Central Chile;;
;2022-02-25;Central Chile;;
